MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr5g0403431	Putative CCAAT-binding factor
MtrunA17Chr5g0403441	Putative cytochrome P450
MtrunA17Chr5g0403451	Putative cytochrome P450
MtrunA17Chr5g0403461	Putative pectate lyase
MtrunA17Chr5g0403471	Putative cytochrome P450
MtrunA17Chr5g0403481	Putative pectate lyase
MtrunA17Chr5g0403491	Putative pectate lyase
MtrunA17Chr5g0403501	Putative polygalacturonate 4-alpha-galacturonosyltransferase
MtrunA17Chr5g0403521	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr5g0403531	Putative ELO family protein
MtrunA17Chr5g0403541	Putative Coiled-coil domain containing protein
MtrunA17Chr5g0403551	hypothetical protein
MtrunA17Chr5g0403561	Putative DNA (cytosine-5-)-methyltransferase
MtrunA17Chr5g0403571	hypothetical protein
MtrunA17Chr5g0403581	Putative geranylgeranyl diphosphate synthase
MtrunA17Chr5g0403591	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr5g0403601	Putative major facilitator superfamily
MtrunA17Chr5g0403611	hypothetical protein
MtrunA17Chr5g0403621	Chloroplast envelope membrane protein
MtrunA17Chr5g0403631	Putative transcription factor BES/BZR family
MtrunA17Chr5g0403641	Putative UDP-glucuronosyl/UDP-glucosyltransferase
MtrunA17Chr5g0403661	Putative xaa-Pro aminopeptidase
MtrunA17Chr5g0403671	hypothetical protein
MtrunA17Chr5g0403681	Putative NAD(P)H dehydrogenase (quinone)
MtrunA17Chr5g0403691	Putative transcription factor Homobox-WOX family
MtrunA17Chr5g0403701	Putative transcription factor Homobox-WOX family
MtrunA17Chr5g0403711	hypothetical protein
MtrunA17Chr5g0403721	Putative dual-specificity kinase TKL-Pl-4 family
MtrunA17Chr5g0403731	hypothetical protein
MtrunA17Chr5g0403741	Putative transcription factor GRAS family
MtrunA17Chr5g0403761	hypothetical protein
MtrunA17Chr5g0403771	Putative rmlC-like jelly roll protein
MtrunA17Chr5g0403781	Putative protein-serine/threonine phosphatase
MtrunA17Chr5g0403791	Putative DNA-directed RNA polymerase III subunit Rpc5
MtrunA17Chr5g0403821	Putative pentatricopeptide
MtrunA17Chr5g0403831	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr5g0403841	hypothetical protein
MtrunA17Chr5g0403851	hypothetical protein
MtrunA17Chr5g0403861	Putative transcription factor TFIIB
MtrunA17Chr5g0403881	hypothetical protein
MtrunA17Chr5g0403891	Putative protein kinase RLK-Pelle-PERK-1 family
MtrunA17Chr5g0403901	Putative transmembrane protein TauE
MtrunA17Chr5g0403911	Putative 4a-hydroxytetrahydrobiopterin dehydratase transcription coactivator Tc-PD family
MtrunA17Chr5g0403921	Putative DNA helicase chromatin remodeling SNF2 family
MtrunA17Chr5g0403931	Putative cholesterol monooxygenase (side-chain-cleaving)
MtrunA17Chr5g0403941	Putative succinate dehydrogenase (quinone)
MtrunA17Chr5g0403951	hypothetical protein
MtrunA17Chr5g0403961	hypothetical protein
MtrunA17Chr5g0403981	hypothetical protein
MtrunA17Chr5g0403991	hypothetical protein
MtrunA17Chr5g0404001	hypothetical protein
MtrunA17Chr5g0404011	hypothetical protein
MtrunA17Chr5g0404021	hypothetical protein
MtrunA17Chr5g0404031	hypothetical protein
MtrunA17Chr5g0404041	hypothetical protein
MtrunA17Chr5g0404061	Putative vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
MtrunA17Chr5g0404081	hypothetical protein
MtrunA17Chr5g0404091	Putative immunoglobulin-like protein
MtrunA17Chr5g0404101	Putative transcription factor MYB-HB-like family
MtrunA17Chr5g0404111	hypothetical protein
MtrunA17Chr5g0404121	Putative Nrap protein
MtrunA17Chr5g0404131	Putative transcription factor C2C2-GATA family
MtrunA17Chr5g0404141	Putative triacylglycerol lipase
MtrunA17Chr5g0404151	hypothetical protein
MtrunA17Chr5g0404161	Putative hydrolase
MtrunA17Chr5g0404171	Putative alpha/Beta hydrolase
MtrunA17Chr5g0404181	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr5g0404191	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr5g0404201	Putative DNA-3-methyladenine glycosylase II
MtrunA17Chr5g0404211	Putative 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
MtrunA17Chr5g0404221	hypothetical protein
MtrunA17Chr5g0404231	Putative nucleic acid-binding protein
MtrunA17Chr5g0404241	Putative GTP-binding protein Era
MtrunA17Chr5g0404251	hypothetical protein
MtrunA17Chr5g0404261	hypothetical protein
MtrunA17Chr5g0404271	Putative transcription factor HD-ZIP family
MtrunA17Chr5g0404281	hypothetical protein
MtrunA17Chr5g0404291	Putative ATPase, AAA-type, core, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr5g0404301	Putative transcription factor MYB/SANT family
MtrunA17Chr5g0404311	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr5g0404321	Putative transcription factor TUBBY family
MtrunA17Chr5g0404331	hypothetical protein
MtrunA17Chr5g0404341	Putative laccase
MtrunA17Chr5g0404351	hypothetical protein
MtrunA17Chr5g0404361	Putative laccase
MtrunA17Chr5g0404371	Putative regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
MtrunA17Chr5g0404381	Putative glucose-6-phosphate 1-epimerase
MtrunA17Chr5g0404391	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0404401	hypothetical protein
MtrunA17Chr5g0404411	Putative pantetheine-phosphate adenylyltransferase
MtrunA17Chr5g0404421	hypothetical protein
MtrunA17Chr5g0404431	Putative pantetheine-phosphate adenylyltransferase
MtrunA17Chr5g0404441	Putative alpha/Beta hydrolase
MtrunA17Chr5g0404451	hypothetical protein
MtrunA17Chr5g0404461	hypothetical protein
MtrunA17Chr5g0404471	Putative oxidoreductase
MtrunA17Chr5g0404481	Isoflavone reductase
MtrunA17Chr5g0404501	hypothetical protein
MtrunA17Chr5g0404511	Putative 2'-hydroxyisoflavone reductase
MtrunA17Chr5g0404521	Putative P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr5g0404531	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr5g0404541	Putative DNA polymerase III, clamp loader complex, gamma/delta/delta subunit
MtrunA17Chr5g0404551	Putative inorganic diphosphatase
MtrunA17Chr5g0404561	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17Chr5g0404581	hypothetical protein
MtrunA17Chr5g0404591	hypothetical protein
MtrunA17Chr5g0404601	Putative mannan endo-1,4-beta-mannosidase
MtrunA17Chr5g0404611	hypothetical protein
MtrunA17Chr5g0404621	hypothetical protein
MtrunA17Chr5g0404631	Putative salicylate carboxymethyltransferase
MtrunA17Chr5g0404641	Putative heavy metal-associated domain, HMA
MtrunA17Chr5g0404651	Putative ATPase, AAA-type, core, AAA-type ATPase domain-containing protein
MtrunA17Chr5g0404661	Putative ATPase, AAA-type, core, AAA-type ATPase domain-containing protein
MtrunA17Chr5g0404671	Putative ATPase, AAA-type, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr5g0404681	Putative P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr5g0404691	Putative P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr5g0404701	Putative Zinc finger, SWIM-type
MtrunA17Chr5g0404711	Putative CRAL-TRIO lipid binding domain, CRAL/TRIO domain-containing protein
MtrunA17Chr5g0404721	Putative peroxidase
MtrunA17Chr5g0404731	hypothetical protein
MtrunA17Chr5g0404741	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0404751	Putative thioredoxin-disulfide reductase
MtrunA17Chr5g0404761	Putative S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr5g0404771	Putative S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr5g0404781	Putative transcription factor STY-LRP1 family
MtrunA17Chr5g0404791	hypothetical protein
MtrunA17Chr5g0404801	Putative EamA domain-containing protein
MtrunA17Chr5g0404811	Putative EamA domain-containing protein
MtrunA17Chr5g0404821	hypothetical protein
MtrunA17Chr5g0404831	Putative monodehydroascorbate reductase (NADH)
MtrunA17Chr5g0404841	Putative beta-galactosidase
MtrunA17Chr5g0404851	Putative 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase
MtrunA17Chr5g0404861	Putative 3-epi-6-deoxocathasterone 23-monooxygenase
MtrunA17Chr5g0404871	Putative 3-epi-6-deoxocathasterone 23-monooxygenase
MtrunA17Chr5g0404881	Putative 3-epi-6-deoxocathasterone 23-monooxygenase
MtrunA17Chr5g0404891	Putative tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
MtrunA17Chr5g0404901	Putative oxidoreductase
MtrunA17Chr5g0404911	hypothetical protein
MtrunA17Chr5g0404921	hypothetical protein
MtrunA17Chr5g0404931	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr5g0404951	Putative transcription factor MADS-MIKC family
MtrunA17Chr5g0404961	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0404981	Putative transcription factor C2C2-GATA family
MtrunA17Chr5g0405001	Putative cytochrome P450
MtrunA17Chr5g0405011	Putative Coiled-coil domain-containing protein
MtrunA17Chr5g0405021	Putative alpha/Beta hydrolase
MtrunA17Chr5g0405031	Putative chromatin regulator PHD family
MtrunA17Chr5g0405051	hypothetical protein
MtrunA17Chr5g0405061	Putative transcription factor C3H family
MtrunA17Chr5g0405071	Putative chromatin regulator PHD family
MtrunA17Chr5g0405081	hypothetical protein
MtrunA17Chr5g0405091	Putative prolyl oligopeptidase
MtrunA17Chr5g0405101	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr5g0405111	Putative FBD domain-containing protein
MtrunA17Chr5g0405121	hypothetical protein
MtrunA17Chr5g0405131	Putative alpha/Beta hydrolase
MtrunA17Chr5g0405141	Putative carboxypeptidase D
MtrunA17Chr5g0405151	Putative transcription factor interactor and regulator Znf-B family
MtrunA17Chr5g0405161	Putative histone-lysine N-methyltransferase
MtrunA17Chr5g0405171	Putative lactoylglutathione lyase
MtrunA17Chr5g0405181	Putative plus-end-directed kinesin ATPase
MtrunA17Chr5g0405191	Putative protein kinase RLK-Pelle-LRR-VII-3 family
MtrunA17Chr5g0405201	Putative V-ATPase proteolipid subunit
MtrunA17Chr5g0405211	Putative transcription factor NAM family
MtrunA17Chr5g0405221	Putative winged helix-turn-helix DNA-binding domain-containing protein
MtrunA17Chr5g0405231	hypothetical protein
MtrunA17Chr5g0405241	Putative GDP-mannose 4,6-dehydratase
MtrunA17Chr5g0405251	hypothetical protein
MtrunA17Chr5g0405261	hypothetical protein
MtrunA17Chr5g0405271	Putative GDP-mannose 4,6-dehydratase
MtrunA17Chr5g0405281	Putative ribosomal protein L2
MtrunA17Chr5g0405291	Putative filament-like plant protein
MtrunA17Chr5g0405301	Putative small auxin-up RNA
MtrunA17Chr5g0405311	hypothetical protein
MtrunA17Chr5g0405321	Putative F-box domain-containing protein
MtrunA17Chr5g0405331	Putative F-box domain-containing protein
MtrunA17Chr5g0405341	Putative F-box domain-containing protein
MtrunA17Chr5g0405351	Putative transcription factor Homobox-WOX family
MtrunA17Chr5g0405361	Putative transcription factor YEATS family
MtrunA17Chr5g0405371	hypothetical protein
MtrunA17Chr5g0405381	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0405401	hypothetical protein
MtrunA17Chr5g0405411	Putative flavanone 3-dioxygenase
MtrunA17Chr5g0405421	Putative protein kinase CAMK-CDPK family
MtrunA17Chr5g0405431	Putative F-box associated interaction domain-containing protein
MtrunA17Chr5g0405441	Putative F-box domain-containing protein
MtrunA17Chr5g0405451	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0405461	hypothetical protein
MtrunA17Chr5g0405471	Putative xanthine/uracil/vitamin C permease
MtrunA17Chr5g0405491	Putative DnaJ domain-containing protein
MtrunA17Chr5g0405501	Putative DnaJ domain-containing protein
MtrunA17Chr5g0405521	Putative DnaJ domain-containing protein
MtrunA17Chr5g0405531	Putative potassium channel domain-containing protein
MtrunA17Chr5g0405541	hypothetical protein
MtrunA17Chr5g0405561	hypothetical protein
MtrunA17Chr5g0405571	Ferredoxin--NADP reductase
MtrunA17Chr5g0405581	Putative thaumatin
MtrunA17Chr5g0405591	hypothetical protein
MtrunA17Chr5g0405601	Putative NAD(P)-binding domain-containing protein
MtrunA17Chr5g0405611	Putative thaumatin
MtrunA17Chr5g0405621	Putative major facilitator superfamily domain-containing protein
MtrunA17Chr5g0405631	Putative thiosulfate sulfurtransferase
MtrunA17Chr5g0405641	hypothetical protein
MtrunA17Chr5g0405651	hypothetical protein
MtrunA17Chr5g0405661	hypothetical protein
MtrunA17Chr5g0405671	Putative F-box domain-containing protein
MtrunA17Chr5g0405681	Putative proteasome subunit Rpn10 protein
MtrunA17Chr5g0405691	Putative senescence/spartin-associated
MtrunA17Chr5g0405701	Putative histidine kinase response regulator and transcription factor RR-A-type family
MtrunA17Chr5g0405731	Putative L-ascorbate peroxidase
MtrunA17Chr5g0405741	hypothetical protein
MtrunA17Chr5g0405751	Putative fruit bromelain
MtrunA17Chr5g0405761	Putative Myb/SANT-like domain-containing protein
MtrunA17Chr5g0405771	Putative 3-dehydroquinate synthase
MtrunA17Chr5g0405781	Putative beta-galactosidase
MtrunA17Chr5g0405791	Putative small GTPase superfamily, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr5g0405801	Putative vacuolar protein sorting-associated protein
MtrunA17Chr5g0405811	Putative heavy metal-associated domain, HMA
MtrunA17Chr5g0405821	Putative triacylglycerol lipase
MtrunA17Chr5g0405831	Putative triacylglycerol lipase
MtrunA17Chr5g0405841	Putative PLAC8 motif-containing protein
MtrunA17Chr5g0405851	Putative transcription factor WD40-like family
MtrunA17Chr5g0405861	Putative diaminopimelate decarboxylase
MtrunA17Chr5g0405871	Putative S-phase kinase-associated protein
MtrunA17Chr5g0405881	Putative 11-S seed storage protein, plant
MtrunA17Chr5g0405891	Putative S-phase kinase-associated protein
MtrunA17Chr5g0405901	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0405911	hypothetical protein
MtrunA17Chr5g0405921	hypothetical protein
MtrunA17Chr5g0405931	Putative transcription factor C2H2 family
MtrunA17Chr5g0405951	Putative transcription factor bZIP family
MtrunA17Chr5g0405961	Putative winged helix-turn-helix DNA-binding domain-containing protein
MtrunA17Chr5g0405971	Putative F-box associated interaction domain-containing protein
MtrunA17Chr5g0405981	Putative lysine methyltransferase, S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr5g0405991	Putative peroxidase
MtrunA17Chr5g0406001	Putative nepenthesin
MtrunA17Chr5g0406011	Putative F-box domain-containing protein
MtrunA17Chr5g0406021	hypothetical protein
MtrunA17Chr5g0406031	Putative transcription factor C2H2 family
MtrunA17Chr5g0406041	Putative aconitate hydratase
MtrunA17Chr5g0406051	Putative procollagen-proline dioxygenase
MtrunA17Chr5g0406061	hypothetical protein
MtrunA17Chr5g0406071	hypothetical protein
MtrunA17Chr5g0406081	hypothetical protein
MtrunA17Chr5g0406091	hypothetical protein
MtrunA17Chr5g0406121	Putative DNA-directed RNA polymerase
MtrunA17Chr5g0406131	hypothetical protein
MtrunA17Chr5g0406141	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0406151	Putative phospholipase D
MtrunA17Chr5g0406161	Putative phospholipase D
MtrunA17Chr5g0406171	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr5g0406191	hypothetical protein
MtrunA17Chr5g0406201	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0406211	Putative bifunctional nuclease domain-containing protein
MtrunA17Chr5g0406221	hypothetical protein
MtrunA17Chr5g0406251	Putative dual-specificity kinase TKL-Pl-4 family
MtrunA17Chr5g0406281	Putative thiosulfate sulfurtransferase
MtrunA17Chr5g0406291	Putative thioredoxin-like, vitamin K epoxide reductase
MtrunA17Chr5g0406301	Putative CRAL-TRIO lipid binding domain-containing protein
MtrunA17Chr5g0406311	Putative protein S-acyltransferase
MtrunA17Chr5g0406321	hypothetical protein
MtrunA17Chr5g0406331	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr5g0406351	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr5g0406361	hypothetical protein
MtrunA17Chr5g0406371	hypothetical protein
MtrunA17Chr5g0406391	hypothetical protein
MtrunA17Chr5g0406401	hypothetical protein
MtrunA17Chr5g0406411	hypothetical protein
MtrunA17Chr5g0406421	hypothetical protein
MtrunA17Chr5g0406441	hypothetical protein
MtrunA17Chr5g0406451	hypothetical protein
MtrunA17Chr5g0406461	Putative retrotransposon gag domain, aspartic peptidase domain-containing protein
MtrunA17Chr5g0406471	hypothetical protein
MtrunA17Chr5g0406481	hypothetical protein
MtrunA17Chr5g0406501	hypothetical protein
MtrunA17Chr5g0406511	hypothetical protein
MtrunA17Chr5g0406531	hypothetical protein
MtrunA17Chr5g0406541	hypothetical protein
MtrunA17Chr5g0406561	hypothetical protein
MtrunA17Chr5g0406581	hypothetical protein
MtrunA17Chr5g0406601	hypothetical protein
MtrunA17Chr5g0406621	Putative endonuclease/exonuclease/phosphatase
MtrunA17Chr5g0406631	hypothetical protein
MtrunA17Chr5g0406641	Putative DNA (cytosine-5-)-methyltransferase
MtrunA17Chr5g0406651	Putative cytochrome P450
MtrunA17Chr5g0406661	hypothetical protein
MtrunA17Chr5g0406671	Putative Ulp1 protease family catalytic domain-containing protein
MtrunA17Chr5g0406681	Putative 4-coumarate--CoA ligase
MtrunA17Chr5g0406691	Putative isocitrate dehydrogenase (NAD(+))
MtrunA17Chr5g0406701	hypothetical protein
MtrunA17Chr5g0406711	Putative serine O-acetyltransferase
MtrunA17Chr5g0406721	Putative GRIP domain-containing protein
MtrunA17Chr5g0406731	Putative Late nodulin
MtrunA17Chr5g0406741	G2/mitotic-specific cyclin-1
MtrunA17Chr5g0406751	Putative polynucleotide adenylyltransferase
MtrunA17Chr5g0406761	Putative ubiquilin
MtrunA17Chr5g0406771	Putative thaumatin
MtrunA17Chr5g0406781	Putative transcription factor C2H2 family
MtrunA17Chr5g0406791	Putative transcription factor C2H2 family
MtrunA17Chr5g0406801	Putative phosphatidylinositol-3,4-bisphosphate 4-phosphatase
MtrunA17Chr5g0406821	Putative F-box associated interaction domain-containing protein
MtrunA17Chr5g0406841	Putative transferase, protein kinase RLK-Pelle-RLCK-VIIa-2 family
MtrunA17Chr5g0406851	Putative oxidoreductase
MtrunA17Chr5g0406861	hypothetical protein
MtrunA17Chr5g0406871	Putative linoleate 9S-lipoxygenase
MtrunA17Chr5g0406881	Putative leucine-rich repeat 2
MtrunA17Chr5g0406891	Putative FBD domain-containing protein
MtrunA17Chr5g0406901	Putative transcription factor Nin-like family
MtrunA17Chr5g0406921	Putative beta-galactosidase
MtrunA17Chr5g0406931	Putative transcription factor WD40-like family
MtrunA17Chr5g0406941	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0406961	Putative stearoyl-[acyl-carrier-protein] 9-desaturase
MtrunA17Chr5g0406971	hypothetical protein
MtrunA17Chr5g0406991	Putative GDP dissociation inhibitor, FAD/NAD(P)-binding domain-containing protein
MtrunA17Chr5g0407011	Putative chromatin remodeling & transcriptional activation HMG family
MtrunA17Chr5g0407021	Putative nucleoside-triphosphate phosphatase
MtrunA17Chr5g0407031	hypothetical protein
MtrunA17Chr5g0407041	Putative transcription factor WD40-like family
MtrunA17Chr5g0407051	Putative transcription factor WD40-like family
MtrunA17Chr5g0407081	hypothetical protein
MtrunA17Chr5g0407101	Putative DNA mismatch repair protein, MutL
MtrunA17Chr5g0407111	Putative F-box domain-containing protein
MtrunA17Chr5g0407121	Putative protein kinase CMGC-SRPK family
MtrunA17Chr5g0407141	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr5g0407151	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0407161	Putative protein-serine/threonine phosphatase
MtrunA17Chr5g0407171	Putative periplasmic binding protein-like I
MtrunA17Chr5g0407181	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0407191	Putative protein-serine/threonine phosphatase
MtrunA17Chr5g0407201	Putative aminotransferase-like, plant mobile domain-containing protein
MtrunA17Chr5g0407211	Putative histone acetyltransferase chromatin regulator PHD family
MtrunA17Chr5g0407221	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0407231	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0407241	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0407251	Putative histone acetyltransferase chromatin regulator PHD family
MtrunA17Chr5g0407261	Putative protein kinase IRE1 family
MtrunA17Chr5g0407271	Putative membrane transport protein
MtrunA17Chr5g0407281	Putative membrane transport protein
MtrunA17Chr5g0407291	Putative membrane transport protein
MtrunA17Chr5g0407301	hypothetical protein
MtrunA17Chr5g0407311	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr5g0407321	Putative membrane transport protein
MtrunA17Chr5g0407331	Putative membrane transport protein
MtrunA17Chr5g0407341	hypothetical protein
MtrunA17Chr5g0407351	hypothetical protein
MtrunA17Chr5g0407361	hypothetical protein
MtrunA17Chr5g0407371	hypothetical protein
MtrunA17Chr5g0407381	hypothetical protein
MtrunA17Chr5g0407391	hypothetical protein
MtrunA17Chr5g0407401	hypothetical protein
MtrunA17Chr5g0407431	Putative transcription factor C2H2 family
MtrunA17Chr5g0407441	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr5g0407451	Putative mitochondrial carrier domain-containing protein
MtrunA17Chr5g0407461	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr5g0407481	Putative chloroplast protein import component Tic20
MtrunA17Chr5g0407491	hypothetical protein
MtrunA17Chr5g0407501	Putative transcription factor & chromatin remodeling CW-Zn family
MtrunA17Chr5g0407511	hypothetical protein
MtrunA17Chr5g0407521	Putative hydroxymethylglutaryl-CoA reductase (NADPH)
MtrunA17Chr5g0407541	Putative thioredoxin-disulfide reductase
MtrunA17Chr5g0407551	hypothetical protein
MtrunA17Chr5g0407561	Putative transcription factor & chromatin remodeling ARID family
MtrunA17Chr5g0407581	hypothetical protein
MtrunA17Chr5g0407591	Putative gibberellin 3-beta-dioxygenase
MtrunA17Chr5g0407601	Putative non-heme dioxygenase domain, isopenicillin N synthase
MtrunA17Chr5g0407611	Putative membrane transport protein
MtrunA17Chr5g0407621	Putative membrane transport protein
MtrunA17Chr5g0407671	hypothetical protein
MtrunA17Chr5g0407691	Diacylglycerol O-acyltransferase 2D
MtrunA17Chr5g0407701	Putative tripeptidyl-peptidase II
MtrunA17Chr5g0407711	hypothetical protein
MtrunA17Chr5g0407721	Putative protein kinase RLK-Pelle-L-LEC family
MtrunA17Chr5g0407731	Putative gibberellin 3-beta-dioxygenase
MtrunA17Chr5g0407741	Putative gibberellin 2-beta-dioxygenase
MtrunA17Chr5g0407751	Putative gibberellin 3-beta-dioxygenase
MtrunA17Chr5g0407761	Putative non-heme dioxygenase domain, isopenicillin N synthase
MtrunA17Chr5g0407771	hypothetical protein
MtrunA17Chr5g0407781	Putative gibberellin 3-beta-dioxygenase
MtrunA17Chr5g0407791	Putative minus-end-directed kinesin ATPase
MtrunA17Chr5g0407801	hypothetical protein
MtrunA17Chr5g0407811	Putative ribosomal protein L4/L1e
MtrunA17Chr5g0407821	Putative heavy metal-associated domain, HMA
MtrunA17Chr5g0407831	Putative Root UVB sensitive family
MtrunA17Chr5g0407841	hypothetical protein
MtrunA17Chr5g0407861	Putative GDP dissociation inhibitor, FAD/NAD(P)-binding domain-containing protein
MtrunA17Chr5g0407891	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0407901	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0407911	Putative transcription factor & chromatin remodeling &Metalloenzymes JmjC family
MtrunA17Chr5g0407921	Putative pentatricopeptide
MtrunA17Chr5g0407931	Putative oxidoreductase
MtrunA17Chr5g0407941	Putative oxidoreductase
MtrunA17Chr5g0407951	Putative oxidoreductase
MtrunA17Chr5g0407961	Putative apyrase
MtrunA17Chr5g0407971	Putative EamA domain-containing protein
MtrunA17Chr5g0407981	Putative phosphoribosylamine--glycine ligase
MtrunA17Chr5g0407991	Putative EamA domain-containing protein
MtrunA17Chr5g0408001	Putative EamA domain-containing protein
MtrunA17Chr5g0408011	hypothetical protein
MtrunA17Chr5g0408021	hypothetical protein
MtrunA17Chr5g0408031	Putative EamA domain-containing protein
MtrunA17Chr5g0408041	Putative EamA domain-containing protein
MtrunA17Chr5g0408051	Putative oligomeric Golgi complex subunit 6 protein
MtrunA17Chr5g0408061	Putative polar-amino-acid-transporting ATPase
MtrunA17Chr5g0408071	Putative glycoside hydrolase family 18, catalytic domain, glycoside hydrolase, catalytic
MtrunA17Chr5g0408081	Putative transcription factor and/or regulators TTF-type(Zn) family
MtrunA17Chr5g0408091	hypothetical protein
MtrunA17Chr5g0408101	hypothetical protein
MtrunA17Chr5g0408111	Putative transcription regulator SWI/SNF-BAF60b family
MtrunA17Chr5g0408121	Putative transcription regulator SWI/SNF-BAF60b family
MtrunA17Chr5g0408131	Putative HAT dimerization domain, ribonuclease H-like domain, hAT-like transposase, RNase-H
MtrunA17Chr5g0408141	Putative F-box domain, herpesvirus UL92
MtrunA17Chr5g0408151	hypothetical protein
MtrunA17Chr5g0408161	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0408171	Putative nucleotide-diphospho-sugar transferase
MtrunA17Chr5g0408181	Putative (+)-abscisic acid 8'-hydroxylase
MtrunA17Chr5g0408191	hypothetical protein
MtrunA17Chr5g0408201	Putative LSM domain-containing protein
MtrunA17Chr5g0408211	Putative FDF domain-containing protein
MtrunA17Chr5g0408221	hypothetical protein
MtrunA17Chr5g0408231	hypothetical protein
MtrunA17Chr5g0408241	Putative long-chain-alcohol oxidase
MtrunA17Chr5g0408251	Putative EF-hand domain pair protein
MtrunA17Chr5g0408261	Putative DYW domain-containing protein
MtrunA17Chr5g0408271	hypothetical protein
MtrunA17Chr5g0408281	Putative encoded peptide
MtrunA17Chr5g0408291	hypothetical protein
MtrunA17Chr5g0408301	hypothetical protein
MtrunA17Chr5g0408311	Putative Late embryogenesis abundant protein, LEA-14
MtrunA17Chr5g0408321	hypothetical protein
MtrunA17Chr5g0408331	Putative ClpP/crotonase-like domain-containing protein
MtrunA17Chr5g0408341	Putative ClpP/crotonase-like domain-containing protein
MtrunA17Chr5g0408361	hypothetical protein
MtrunA17Chr5g0408371	Putative beta-galactosidase
MtrunA17Chr5g0408381	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408391	hypothetical protein
MtrunA17Chr5g0408401	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408411	hypothetical protein
MtrunA17Chr5g0408421	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408431	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408441	Putative SHQ1 protein
MtrunA17Chr5g0408451	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408461	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408471	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408481	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408491	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408501	Putative non-specific serine/threonine protein kinase
